DATE,GDPC1
2013-04-01,15521.559
2013-07-01,15641.336
2013-10-01,15793.928
2014-01-01,15757.57
2014-04-01,15935.825
2014-07-01,16139.513
2014-10-01,16220.222
2015-01-01,16349.97
2015-04-01,16460.889
2015-07-01,16527.587
2015-10-01,16547.619
2016-01-01,16571.573
2016-04-01,16663.516
2016-07-01,16778.148
2016-10-01,16851.42
2017-01-01,16903.24
2017-04-01,17031.085
2017-07-01,17163.894
2017-10-01,17286.497
2018-01-01,17379.728
